demand_elec.fix,demand_heat.fix,elec_net_dyn.emission_factor,elec_net_dyn.variable_costs,t_wp_A_W70.eff_out_1,t_wp_A_W70.max,pv.fix
140.3143537,821.5605029,0.263,0.15,2.32,0.302612994,0
122.2234104,899.0512925,0.296,0.15,1.87,0.319826977,0
98.89103656,981.4863704,0.329,0.15,1.78,0.323269774,0
78.78558787,1006.481292,0.332,0.15,1.78,0.323269774,0
75.26791157,1031.763671,0.33,0.15,1.75,0.324417373,0
68.12550063,1048.098764,0.333,0.15,1.54,0.332450565,0
65.53073645,1061.025871,0.325,0.15,1.54,0.332450565,0
72.09053635,1071.467089,0.316,0.15,1.51,0.333598164,0
85.96977703,1091.585126,0.314,0.15,1.54,0.332450565,0
103.2357832,1128.738892,0.316,0.15,1.45,0.335893362,0
141.149007,1176.222902,0.277,0.15,1.33,0.340483757,0
238.7140434,1177.622267,0.255,0.15,1.39,0.338188559,0.002511242
282.308716,1167.733658,0.241,0.15,1.48,0.334745763,0.100723796
278.0942875,1119.134292,0.24,0.15,1.75,0.324417373,0.124654582
264.222354,1071.757093,0.233,0.15,1.9,0.318679379,0.211922932
229.7758077,1034.432998,0.228,0.15,1.96,0.316384181,0.123380028
191.5674512,1006.76386,0.227,0.15,1.93,0.31753178,0.114112774
184.6805791,991.878736,0.226,0.15,1.96,0.316384181,0.124244265
206.1399274,981.7261808,0.223,0.15,1.84,0.320974576,0.014736227
195.6263632,969.4638316,0.211,0.15,1.9,0.318679379,0
175.303878,954.9673774,0.199,0.15,1.87,0.319826977,0
187.0502851,968.1553804,0.194,0.15,1.72,0.325564972,0
187.0755075,970.2784505,0.192,0.15,1.69,0.326712571,0
151.8099405,966.0658404,0.195,0.15,1.63,0.329007768,0
132.3239953,988.9817717,0.194,0.15,1.63,0.329007768,0
116.7478065,1031.668852,0.192,0.15,1.57,0.331302966,0
99.89417079,1063.709287,0.195,0.15,1.6,0.330155367,0
76.87707706,1089.039119,0.207,0.15,1.6,0.330155367,0
63.70235852,1102.936946,0.218,0.15,1.6,0.330155367,0
59.68599537,1114.622082,0.229,0.15,1.48,0.334745763,0
58.77591721,1120.782876,0.236,0.15,1.39,0.338188559,0
59.74466118,1118.874724,0.245,0.15,1.39,0.338188559,0
67.37922036,1126.671024,0.237,0.15,1.27,0.342778955,0
89.78639795,1153.575587,0.242,0.15,1.18,0.346221751,0
148.3761277,1194.368124,0.235,0.15,1,0.353107345,0
261.5027575,1225.365601,0.233,0.15,1,0.353107345,0
311.2847658,1266.317724,0.222,0.15,1.15,0.34736935,0.012395844
302.4182836,1275.210838,0.225,0.15,1.12,0.348516949,0.034159168
303.2728767,1250.362946,0.229,0.15,1.12,0.348516949,0.048394249
269.2765897,1223.810334,0.231,0.15,1.15,0.34736935,0.044995472
220.4144712,1222.338378,0.234,0.15,1.21,0.345074153,0.031978885
205.0586693,1241.131226,0.248,0.15,1.27,0.342778955,0.027862564
232.8284879,1263.999287,0.247,0.15,1.18,0.346221751,0.092943064
230.5041853,1169.302742,0.236,0.15,1.21,0.345074153,0
199.7975616,1113.198875,0.235,0.15,1.12,0.348516949,0
169.7109545,1073.836967,0.226,0.15,1.12,0.348516949,0
150.2670496,1063.773058,0.228,0.15,1.12,0.348516949,0
137.3886268,1070.353372,0.237,0.15,1.12,0.348516949,0
129.9796644,1105.288599,0.241,0.15,1.06,0.350812147,0
111.6054797,1159.975431,0.251,0.15,1,0.353107345,0
89.02906461,1212.606012,0.237,0.15,1,0.353107345,0
69.27515595,1248.946688,0.231,0.15,1,0.353107345,0
62.12311314,1270.545811,0.232,0.15,1,0.353107345,0
59.36251146,1287.702935,0.219,0.15,1,0.353107345,0
58.77591721,1300.514941,0.2,0.15,1,0.353107345,0
59.74466118,1304.294184,0.207,0.15,1,0.353107345,0
67.37922036,1314.560684,0.203,0.15,1,0.353107345,0
89.78639795,1340.044958,0.2,0.15,1,0.353107345,0
148.3761277,1374.567169,0.21,0.15,1,0.353107345,0
261.5027575,1396.017099,0.207,0.15,1,0.353107345,0
311.2847658,1423.663235,0.197,0.15,1,0.353107345,0.013280465
302.4182836,1410.142511,0.198,0.15,1,0.353107345,0.087317549
303.2728767,1357.804549,0.198,0.15,1,0.353107345,0.122480963
269.2765897,1299.408843,0.201,0.15,1,0.353107345,0.164415656
220.4144712,1264.209781,0.206,0.15,1,0.353107345,0.188977907
205.0586693,1258.502138,0.223,0.15,1.06,0.350812147,0.120488945
232.8284879,1274.188548,0.219,0.15,1.18,0.346221751,0.012002102
230.5041853,1178.921755,0.216,0.15,1.21,0.345074153,0
199.7975616,1124.117206,0.213,0.15,1.18,0.346221751,0
169.7109545,1082.305687,0.206,0.15,1.27,0.342778955,0
150.2670496,1064.684837,0.216,0.15,1.36,0.339336158,0
137.3886268,1058.583724,0.223,0.15,1.48,0.334745763,0
130.1014404,1077.664844,0.225,0.15,1.63,0.329007768,0
113.8336662,1117.54221,0.209,0.15,1.54,0.332450565,0
98.31283197,1154.648516,0.196,0.15,1.6,0.330155367,0
82.76488293,1171.405392,0.147,0.15,1.69,0.326712571,0
76.44117145,1173.750726,0.131,0.15,1.69,0.326712571,0
68.308872,1173.138932,0.11,0.15,1.69,0.326712571,0
65.53073645,1174.038821,0.108,0.15,1.48,0.334745763,0
72.09053635,1173.701415,0.102,0.15,1.54,0.332450565,0
85.96977703,1182.073099,0.103,0.15,1.69,0.326712571,0
103.2357832,1206.564512,0.098,0.15,1.66,0.327860169,0
141.149007,1241.907328,0.119,0.15,1.6,0.330155367,0
238.7140434,1235.463493,0.129,0.15,1.81,0.322122175,0.001501107
282.308716,1229.045944,0.123,0.15,1.72,0.325564972,0.024353388
278.0942875,1192.494831,0.123,0.15,1.75,0.324417373,0.07255399
264.222354,1163.967679,0.118,0.15,1.81,0.322122175,0.044201979
229.7758077,1145.450292,0.106,0.15,1.75,0.324417373,0.035909217
191.5674512,1130.497692,0.109,0.15,1.72,0.325564972,0.037832656
184.6805791,1116.65817,0.111,0.15,1.78,0.323269774,0.054273094
206.1399274,1095.781714,0.117,0.15,1.66,0.327860169,0.034144959
195.6263632,1073.838217,0.123,0.15,1.57,0.331302966,0
175.303878,1049.490996,0.12,0.15,1.6,0.330155367,0
187.0502851,1052.171089,0.122,0.15,1.63,0.329007768,0
187.0755075,1044.797347,0.124,0.15,1.57,0.331302966,0
151.8099405,1030.967022,0.127,0.15,1.66,0.327860169,0
132.4457713,1044.302935,0.14,0.15,1.66,0.327860169,0
