elec_grid_buy.emission_factor,elec_grid_sell.emission_factor,elec_grid_buy.variable_costs,elec_grid_sell.variable_costs
0.535314475,-0.535314475,0.3,-0.06
0.530587617,-0.530587617,0.3,-0.06
0.531901351,-0.531901351,0.3,-0.06
0.536661776,-0.536661776,0.3,-0.06
0.540390302,-0.540390302,0.3,-0.06
0.545464386,-0.545464386,0.3,-0.06
0.539921151,-0.539921151,0.3,-0.06
0.533868364,-0.533868364,0.3,-0.06
0.519474191,-0.519474191,0.3,-0.06
0.505195237,-0.505195237,0.3,-0.06
0.48950561,-0.48950561,0.3,-0.06
0.471666764,-0.471666764,0.3,-0.06
0.458032748,-0.458032748,0.3,-0.06
0.450033229,-0.450033229,0.3,-0.06
0.444519848,-0.444519848,0.3,-0.06
0.439982388,-0.439982388,0.3,-0.06
0.431581867,-0.431581867,0.3,-0.06
0.418851697,-0.418851697,0.3,-0.06
0.408264811,-0.408264811,0.3,-0.06
0.39742799,-0.39742799,0.3,-0.06
0.38965355,-0.38965355,0.3,-0.06
0.396862945,-0.396862945,0.3,-0.06
0.403955535,-0.403955535,0.3,-0.06
0.405681923,-0.405681923,0.3,-0.06
0.406434566,-0.406434566,0.3,-0.06
0.40382986,-0.40382986,0.3,-0.06
0.396044076,-0.396044076,0.3,-0.06
0.389669762,-0.389669762,0.3,-0.06
0.374524869,-0.374524869,0.3,-0.06
0.365221231,-0.365221231,0.3,-0.06
0.335054445,-0.335054445,0.3,-0.06
0.309311969,-0.309311969,0.3,-0.06
0.29486845,-0.29486845,0.3,-0.06
0.288117243,-0.288117243,0.3,-0.06
0.276269527,-0.276269527,0.3,-0.06
0.271156543,-0.271156543,0.3,-0.06
0.277153387,-0.277153387,0.3,-0.06
0.284261129,-0.284261129,0.3,-0.06
0.313179922,-0.313179922,0.3,-0.06
0.335117571,-0.335117571,0.3,-0.06
0.356930306,-0.356930306,0.3,-0.06
0.375680373,-0.375680373,0.3,-0.06
0.383430915,-0.383430915,0.3,-0.06
0.393724209,-0.393724209,0.3,-0.06
0.404468706,-0.404468706,0.3,-0.06
0.41396544,-0.41396544,0.3,-0.06
0.425806334,-0.425806334,0.3,-0.06
0.433559561,-0.433559561,0.3,-0.06
0.441107405,-0.441107405,0.3,-0.06
0.438782563,-0.438782563,0.3,-0.06
0.439933655,-0.439933655,0.3,-0.06
0.438326643,-0.438326643,0.3,-0.06
0.432179677,-0.432179677,0.3,-0.06
0.435781431,-0.435781431,0.3,-0.06
0.43253383,-0.43253383,0.3,-0.06
0.4299331,-0.4299331,0.3,-0.06
0.440370644,-0.440370644,0.3,-0.06
0.454304361,-0.454304361,0.3,-0.06
0.45501764,-0.45501764,0.3,-0.06
0.457824882,-0.457824882,0.3,-0.06
0.466209739,-0.466209739,0.3,-0.06
0.480129834,-0.480129834,0.3,-0.06
0.501897768,-0.501897768,0.3,-0.06
0.51139103,-0.51139103,0.3,-0.06
0.519356224,-0.519356224,0.3,-0.06
