weather.temperature,direkt_horizontal_W_m2,diffuse_horizontal_W_m2,global_horizontal_W_m2
4.1,0,0,0
3.8,0,0,0
3.6,0,0,0
2.8,0,0,0
2.5,0,0,0
2.3,0,0,0
2.5,0,8,8
3.1,14,58,72
3.7,40,101,141
3.6,17,120,137
3.7,2,109,111
3.4,0,89,89
3.4,0,51,51
2.7,0,20,20
2.5,0,2,2
2.3,0,0,0
1.8,0,0,0
1,0,0,0
1.4,0,0,0
1.1,0,0,0
0.8,0,0,0
0.8,0,0,0
0.7,0,0,0
0.6,0,0,0
0.4,0,0,0
0.3,0,0,0
0.3,0,0,0
0.4,0,0,0
0,0,0,0
0.2,0,0,0
0.2,0,1,1
-0.1,0,23,23
0.1,1,70,71
-0.1,0,73,73
0,0,53,53
-0.1,0,74,74
0,0,45,45
-0.2,0,19,19
-0.1,0,2,2
-0.3,0,0,0
-0.8,0,0,0
-1.1,0,0,0
-1.6,0,0,0
-2.3,0,0,0
-3.2,0,0,0
-3.5,0,0,0
-3.5,0,0,0
-3.6,0,0,0
-3.9,0,0,0
-4,0,0,0
-4,0,0,0
-4.7,0,0,0
-4.7,0,0,0
-5.2,0,0,0
-3.4,4,12,16
-2.4,40,45,85
-1.9,64,79,143
-1.7,113,93,206
-1.4,85,114,199
-1.4,101,100,201
-1.5,146,47,193
-2.4,73,29,102
-3.5,0,2,2
-4.1,0,0,0
-5.4,0,0,0
-5.6,0,0,0
-6,0,0,0
-5.6,0,0,0
-6.6,0,0,0
-6.7,0,0,0
-6.6,0,0,0
-6.4,0,0,0
-6.9,0,0,0
-6.8,0,0,0
-7.5,0,0,0
-7.5,0,0,0
-7.2,0,0,0
-7.2,0,0,0
-5.2,1,13,14
-2.8,42,52,94
-1.4,137,61,198
-0.7,198,65,263
-0.1,226,63,289
-0.1,207,63,270
-0.5,157,55,212
-1.1,59,43,102
-3,0,2,2
-3.6,0,0,0
-4.1,0,0,0
-4.6,0,0,0
-5,0,0,0
-5.3,0,0,0
-5.6,0,0,0
-5.9,0,0,0
-6,0,0,0
-5.8,0,0,0
-5.3,0,0,0
-4.8,0,0,0
-3.4,0,0,0
-3.5,0,0,0
-3,0,0,0
-2.6,0,0,0
-2.4,1,13,14
-1.2,16,73,89
-0.3,8,103,111
0.3,0,83,83
0.4,0,96,96
0.7,0,87,87
0.9,6,98,104
1.3,2,50,52
1,0,7,7
1.1,0,0,0
1.2,0,0,0
0.9,0,0,0
0.8,0,0,0
0.9,0,0,0
1.6,0,0,0
1.2,0,0,0
1,0,0,0
0.9,0,0,0
0.8,0,0,0
0.8,0,0,0
1.2,0,0,0
1.5,0,0,0
1.3,0,0,0
1.7,0,0,0
2.2,0,7,7
3.2,1,47,48
3.7,5,87,92
4.9,37,143,180
4.5,100,147,247
3.7,8,111,119
3.7,0,55,55
3.4,0,27,27
3.3,0,3,3
3,0,0,0
2.7,0,0,0
2.5,0,0,0
2.2,0,0,0
2,0,0,0
1.9,0,0,0
1.7,0,0,0
1.7,0,0,0
1.6,0,0,0
1.4,0,0,0
1.1,0,0,0
1.1,0,0,0
0.8,0,0,0
0.8,0,0,0
0.8,0,0,0
1.4,0,6,6
2,0,40,40
2.1,17,87,104
2.3,40,117,157
2.2,37,127,164
2.2,0,85,85
1.9,0,54,54
2,0,30,30
2,0,2,2
2,0,0,0
1.8,0,0,0
2,0,0,0
1.9,0,0,0
1.6,0,0,0
1.5,0,0,0
1.3,0,0,0
1.5,0,0,0
1.2,0,0,0
1.1,0,0,0
0.9,0,0,0
1,0,0,0
1.2,0,0,0
1.4,0,0,0
1.5,0,0,0
1.7,0,4,4
1.8,0,38,38
1.9,0,54,54
1.9,0,62,62
1.8,0,69,69
1.8,0,62,62
1.4,0,55,55
1.3,0,32,32
1,0,4,4
1.1,0,0,0
1.4,0,0,0
1.3,0,0,0
1.1,0,0,0
1.3,0,0,0
1.5,0,0,0
1.2,0,0,0
1.4,0,0,0
1.3,0,0,0
1.3,0,0,0
1.1,0,0,0
1.2,0,0,0
1.5,0,0,0
1.4,0,0,0
1.4,0,0,0
1.5,0,10,10
1.8,0,52,52
2,0,58,58
2.1,0,57,57
2.1,0,59,59
2.2,0,50,50
2.2,0,47,47
2.1,0,29,29
2.1,0,5,5
2,0,0,0
2.1,0,0,0
2.1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2.5,0,0,0
2.4,0,0,0
2.6,0,0,0
2.7,0,0,0
2.6,0,0,0
2.6,0,0,0
2.6,0,0,0
2.7,0,0,0
2,0,0,0
2.3,0,4,4
2.9,0,54,54
3.4,107,96,203
4,187,94,281
3.9,106,142,248
3,25,134,159
3.1,34,112,146
1.5,24,74,98
0.2,0,18,18
0.1,0,0,0
-0.3,0,0,0
-0.2,0,0,0
-0.3,0,0,0
-0.5,0,0,0
-0.3,0,0,0
-0.4,0,0,0
-0.1,0,0,0
0,0,0,0
0.5,0,0,0
0.9,0,0,0
0.5,0,0,0
0.2,0,0,0
0.1,0,0,0
0,0,0,0
0.3,0,13,13
0.8,1,56,57
0.9,5,92,97
1,0,84,84
1,0,59,59
0.9,4,108,112
0.3,85,101,186
-0.6,40,69,109
-1.3,8,24,32
-1.6,0,0,0
-1.6,0,0,0
-1.7,0,0,0
-1.9,0,0,0
-2.5,0,0,0
-2.5,0,0,0
-2.5,0,0,0
-2.1,0,0,0
-2.3,0,0,0
-2.6,0,0,0
-2.6,0,0,0
-2.6,0,0,0
-3,0,0,0
-3,0,0,0
-2.7,0,0,0
-2.4,0,19,19
-1.8,4,71,75
-1.5,5,106,111
-0.4,42,162,204
-0.1,118,180,298
0.4,117,167,284
